# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_transcript_ablation	variants_effect_upstream_gene_variant
Rv0481c	Rv0481c	CCP43215	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv0484c	Rv0484c	CCP43218	protein_coding	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	15
Rv0485	Rv0485	CCP43219	protein_coding	0	0	15	0	0	0	0	15	0	0	0	0	0	0	0	0
Rv0487	Rv0487	CCP43221	protein_coding	1	0	15	0	0	0	0	0	1	0	0	0	0	0	0	15
Rv0488	Rv0488	CCP43222	protein_coding	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	15
Rv0492c	Rv0492c	CCP43226	protein_coding	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
Rv0525	Rv0525	CCP43262	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Rv0526	Rv0526	CCP43263	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Rv0528	Rv0528	CCP43265	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Rv0530	Rv0530	CCP43267	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv0530A	Rv0530A	CCP43268	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Rv0531	Rv0531	CCP43269	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv0666	Rv0666	CCP43409	protein_coding	0	0	58	0	0	0	0	58	0	0	0	0	0	0	0	0
Rv0669c	Rv0669c	CCP43412	protein_coding	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0
Rv0674	Rv0674	CCP43417	protein_coding	0	0	58	0	0	0	0	58	0	0	0	0	0	0	0	0
Rv0678	Rv0678	CCP43421	protein_coding	23	5	35	0	1	2	2	5	23	0	0	0	1	0	0	30
Rv0679c	Rv0679c	CCP43422	protein_coding	0	0	63	0	0	0	0	58	0	0	0	0	0	0	0	5
Rv0680c	Rv0680c	CCP43423	protein_coding	0	0	63	0	0	0	0	58	0	0	0	0	0	0	0	5
Rv0681	Rv0681	CCP43424	protein_coding	1	0	61	0	0	0	0	4	1	0	0	0	0	0	0	57
Rv0686	Rv0686	CCP43429	protein_coding	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
Rv0695	Rv0695	CCP43439	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Rv0696	Rv0696	CCP43440	protein_coding	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
Rv0697	Rv0697	CCP43441	protein_coding	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
Rv0698	Rv0698	CCP43442	protein_coding	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
Rv0699	Rv0699	CCP43443	protein_coding	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
Rv1167c	Rv1167c	CCP43923	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
Rv1171	Rv1171	CCP43927	protein_coding	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
Rv1176c	Rv1176c	CCP43932	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Rv1178	Rv1178	CCP43934	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv1254	Rv1254	CCP44010	protein_coding	0	0	26	0	0	0	0	26	0	0	0	0	0	0	0	0
Rv1255c	Rv1255c	CCP44011	protein_coding	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	26
Rv1257c	Rv1257c	CCP44013	protein_coding	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	26
Rv1258c	Rv1258c	CCP44014	protein_coding	21	2	4	1	0	2	0	0	20	0	0	1	0	0	0	4
Rv1260	Rv1260	CCP44016	protein_coding	1	0	27	0	0	0	0	1	0	0	0	0	0	0	1	26
Rv1261c	Rv1261c	CCP44017	protein_coding	1	0	27	0	0	0	0	26	0	0	0	0	0	0	1	1
Rv1262c	Rv1262c	CCP44018	protein_coding	1	0	27	0	0	0	0	26	0	0	0	0	0	0	1	1
Rv1264	Rv1264	CCP44020	protein_coding	1	0	52	0	0	0	0	35	0	0	0	0	0	0	1	17
Rv1265	Rv1265	CCP44021	protein_coding	1	0	35	0	0	0	0	34	1	0	0	1	0	0	0	1
Rv1268c	Rv1268c	CCP44024	protein_coding	3	0	36	0	0	0	0	35	2	0	2	0	0	2	1	1
Rv1269c	Rv1269c	CCP44025	protein_coding	1	0	35	0	0	0	0	34	0	0	0	0	0	0	1	1
Rv1271c	Rv1271c	CCP44027	protein_coding	0	0	34	0	0	0	0	34	0	0	0	0	0	0	0	0
Rv1272c	Rv1272c	CCP44028	protein_coding	0	0	34	0	0	0	0	34	0	0	0	0	0	0	0	0
Rv1273c	Rv1273c	CCP44029	protein_coding	0	0	9	0	0	0	0	9	0	0	0	0	0	0	0	0
Rv1312	Rv1312	CCP44069	protein_coding	0	0	38	0	0	0	0	38	0	0	0	0	0	0	0	0
Rv1313c	Rv1313c	CCP44070	protein_coding	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	44
Rv1314c	Rv1314c	CCP44071	protein_coding	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	47
Rv1318c	Rv1318c	CCP44075	protein_coding	0	0	10	0	0	0	0	10	0	0	0	0	0	0	0	0
Rv1319c	Rv1319c	CCP44076	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Rv1478	Rv1478	CCP44238	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
Rv1480	Rv1480	CCP44240	protein_coding	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0
Rv1481	Rv1481	CCP44241	protein_coding	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0
Rv1482c	Rv1482c	CCP44242	protein_coding	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
Rv1486c	Rv1486c	CCP44246	protein_coding	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0
Rv1487	Rv1487	CCP44247	protein_coding	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
Rv1488	Rv1488	CCP44248	protein_coding	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
Rv1489	Rv1489	CCP44249	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
Rv1489A	Rv1489A	CCP44250	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
Rv1691	Rv1691	CCP44456	protein_coding	0	0	24	0	0	0	0	24	0	0	0	0	0	0	0	0
Rv1692	Rv1692	CCP44457	protein_coding	0	0	24	0	0	0	0	24	0	0	0	0	0	0	0	0
Rv1693	Rv1693	CCP44458	protein_coding	0	0	24	0	0	0	0	24	0	0	0	0	0	0	0	0
Rv1697	Rv1697	CCP44462	protein_coding	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	24
Rv1847	Rv1847	CCP44613	protein_coding	0	0	9	0	0	0	0	9	0	0	0	0	0	0	0	0
Rv1855c	Rv1855c	CCP44621	protein_coding	2	0	22	1	0	0	0	22	1	0	2	0	0	2	0	0
Rv1856c	Rv1856c	CCP44622	protein_coding	0	0	22	0	0	0	0	22	0	0	0	0	0	0	0	0
Rv1903	Rv1903	CCP44670	protein_coding	0	0	64	0	0	0	0	64	0	0	0	0	0	0	0	0
Rv1904	Rv1904	CCP44671	protein_coding	0	0	94	0	0	0	0	94	0	0	0	0	0	0	0	0
Rv1906c	Rv1906c	CCP44673	protein_coding	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	102
Rv1907c	Rv1907c	CCP44674	protein_coding	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	102
Rv1910c	Rv1910c	CCP44677	protein_coding	0	0	102	0	0	0	0	102	0	0	0	0	0	0	0	0
Rv1913	Rv1913	CCP44680	protein_coding	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	97
Rv1914c	Rv1914c	CCP44681	protein_coding	0	0	65	0	0	0	0	65	0	0	0	0	0	0	0	0
Rv1919c	Rv1919c	CCP44686	protein_coding	0	0	15	0	0	0	0	15	0	0	0	0	0	0	0	0
Rv1920	Rv1920	CCP44687	protein_coding	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	15
Rv1922	Rv1922	CCP44689	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv1972	Rv1972	CCP44741	protein_coding	0	0	7	0	0	0	0	7	0	0	0	0	0	0	0	0
Rv1973	Rv1973	CCP44742	protein_coding	0	0	15	0	0	0	0	15	0	0	0	0	0	0	0	0
Rv1974	Rv1974	CCP44743	protein_coding	0	0	25	0	0	0	0	25	0	0	0	0	0	0	0	0
Rv1975	Rv1975	CCP44744	protein_coding	0	0	31	0	0	0	0	31	0	0	0	0	0	0	0	0
Rv1976c	Rv1976c	CCP44745	protein_coding	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	31
Rv1977	Rv1977	CCP44746	protein_coding	0	0	31	0	0	0	0	31	0	0	0	0	0	0	0	0
Rv1978	Rv1978	CCP44747	protein_coding	1	1	29	0	0	0	1	29	1	0	0	0	0	0	0	0
Rv1979c	Rv1979c	CCP44748	protein_coding	20	5	6	0	1	3	1	0	20	0	0	0	0	0	0	6
Rv2037c	Rv2037c	CCP44810	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
Rv2038c	Rv2038c	CCP44811	protein_coding	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	166
Rv2039c	Rv2039c	CCP44812	protein_coding	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	166
Rv2040c	Rv2040c	CCP44813	protein_coding	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	166
Rv2041c	Rv2041c	CCP44814	protein_coding	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	166
Rv2042c	Rv2042c	CCP44815	protein_coding	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	166
Rv2044c	Rv2044c	CCP44817	protein_coding	4	0	168	0	0	0	0	165	1	0	0	0	0	0	3	3
Rv2047c	Rv2047c	CCP44820	protein_coding	0	0	166	0	0	0	0	166	0	0	0	0	0	0	0	0
Rv2411c	Rv2411c	CCP45202	protein_coding	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	11
Rv2413c	Rv2413c	CCP45204	protein_coding	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	17
Rv2414c	Rv2414c	CCP45205	protein_coding	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	17
Rv2415c	Rv2415c	CCP45206	protein_coding	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	17
Rv2417c	Rv2417c	CCP45208	protein_coding	0	0	17	0	0	0	0	17	0	0	0	0	0	0	0	0
Rv2418c	Rv2418c	CCP45209	protein_coding	0	0	17	0	0	0	0	17	0	0	0	0	0	0	0	0
Rv2420c	Rv2420c	CCP45211	protein_coding	0	0	17	0	0	0	0	17	0	0	0	0	0	0	0	0
Rv2422	Rv2422	CCP45213	protein_coding	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	17
Rv2423	Rv2423	CCP45214	protein_coding	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	11
Rv2424c	Rv2424c	CCP45215	protein_coding	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	15
Rv2425c	Rv2425c	CCP45216	protein_coding	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	16
Rv2426c	Rv2426c	CCP45217	protein_coding	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	16
Rv2432c	Rv2432c	CCP45224	protein_coding	0	0	16	0	0	0	0	16	0	0	0	0	0	0	0	0
Rv2433c	Rv2433c	CCP45225	protein_coding	0	0	16	0	0	0	0	16	0	0	0	0	0	0	0	0
Rv2434c	Rv2434c	CCP45226	protein_coding	0	0	16	0	0	0	0	16	0	0	0	0	0	0	0	0
Rv2435c	Rv2435c	CCP45227	protein_coding	0	0	16	0	0	0	0	16	0	0	0	0	0	0	0	0
Rv2531c	Rv2531c	CCP45326	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
Rv2532c	Rv2532c	CCP45327	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
Rv2536	Rv2536	CCP45331	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
Rv2541	Rv2541	CCP45336	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
Rv2749	Rv2749	CCP45548	protein_coding	0	0	59	0	0	0	0	59	0	0	0	0	0	0	0	0
Rv2750	Rv2750	CCP45549	protein_coding	0	0	59	0	0	0	0	59	0	0	0	0	0	0	0	0
Rv2751	Rv2751	CCP45550	protein_coding	1	0	58	0	0	0	0	58	1	0	0	0	0	0	0	0
Rv2752c	Rv2752c	CCP45551	protein_coding	47	6	6	1	3	1	1	0	47	0	0	0	0	0	0	6
Rv2762c	Rv2762c	CCP45561	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
Rv2765	Rv2765	CCP45564	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
Rv2766c	Rv2766c	CCP45565	protein_coding	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
Rv2767c	Rv2767c	CCP45566	protein_coding	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
Rv2774c	Rv2774c	CCP45573	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
Rv2775	Rv2775	CCP45574	protein_coding	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
Rv2776c	Rv2776c	CCP45575	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
Rv2777c	Rv2777c	CCP45576	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
Rv2778c	Rv2778c	CCP45577	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
Rv2779c	Rv2779c	CCP45578	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
Rv2781c	Rv2781c	CCP45580	protein_coding	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
Rv3081	Rv3081	CCP45890	protein_coding	0	0	17	0	0	0	0	17	0	0	0	0	0	0	0	0
Rv3083	Rv3083	CCP45892	protein_coding	16	1	0	0	0	1	0	0	16	0	0	0	0	0	0	0
Rv3085	Rv3085	CCP45894	protein_coding	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	17
Rv3087	Rv3087	CCP45896	protein_coding	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	17
Rv3099c	Rv3099c	CCP45909	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv3103c	Rv3103c	CCP45913	protein_coding	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	11
Rv3104c	Rv3104c	CCP45914	protein_coding	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	11
Rv3108	Rv3108	CCP45918	protein_coding	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	11
Rv3113	Rv3113	CCP45923	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv3194c	Rv3194c	CCP46006	protein_coding	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	31
Rv3195	Rv3195	CCP46007	protein_coding	0	0	31	0	0	0	0	31	0	0	0	0	0	0	0	0
Rv3196	Rv3196	CCP46008	protein_coding	0	0	31	0	0	0	0	31	0	0	0	0	0	0	0	0
Rv3196A	Rv3196A	CCP46009	protein_coding	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	31
Rv3197	Rv3197	CCP46010	protein_coding	0	0	31	0	0	0	0	31	0	0	0	0	0	0	0	0
Rv3198A	Rv3198A	CCP46013	protein_coding	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	31
Rv3200c	Rv3200c	CCP46015	protein_coding	0	0	31	0	0	0	0	31	0	0	0	0	0	0	0	0
Rv3201c	Rv3201c	CCP46016	protein_coding	0	0	20	0	0	0	0	20	0	0	0	0	0	0	0	0
Rv3230c	Rv3230c	CCP46049	protein_coding	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	7
Rv3231c	Rv3231c	CCP46050	protein_coding	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	11
Rv3233c	Rv3233c	CCP46052	protein_coding	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	11
Rv3235	Rv3235	CCP46054	protein_coding	0	0	11	0	0	0	0	11	0	0	0	0	0	0	0	0
Rv3236c	Rv3236c	CCP46055	protein_coding	6	1	4	0	1	0	0	0	6	0	0	0	0	0	0	4
Rv3237c	Rv3237c	CCP46056	protein_coding	4	0	7	0	0	1	0	7	3	0	0	1	0	0	0	0
Rv3238c	Rv3238c	CCP46057	protein_coding	0	0	11	0	0	0	0	11	0	0	0	0	0	0	0	0
Rv3239c	Rv3239c	CCP46058	protein_coding	0	0	11	0	0	0	0	11	0	0	0	0	0	0	0	0
Rv3256c	Rv3256c	CCP46075	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
Rv3258c	Rv3258c	CCP46077	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
Rv3259	Rv3259	CCP46078	protein_coding	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
Rv3263	Rv3263	CCP46082	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
Rv3453	Rv3453	CCP46275	protein_coding	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
Rv3454	Rv3454	CCP46276	protein_coding	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
Rv3463	Rv3463	CCP46285	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
Rv3466	Rv3466	CCP46288	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv3542c	Rv3542c	CCP46364	protein_coding	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6
Rv3548c	Rv3548c	CCP46370	protein_coding	0	0	9	0	0	0	0	9	0	0	0	0	0	0	0	0
Rv3549c	Rv3549c	CCP46371	protein_coding	0	0	9	0	0	0	0	9	0	0	0	0	0	0	0	0
Rv3551	Rv3551	CCP46373	protein_coding	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	9
Rv3552	Rv3552	CCP46374	protein_coding	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	9
Rv3553	Rv3553	CCP46375	protein_coding	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	9
Rv3599c	Rv3599c	CCP46422	protein_coding	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
Rv3600c	Rv3600c	CCP46423	protein_coding	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
Rv3603c	Rv3603c	CCP46426	protein_coding	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	2
Rv3604c	Rv3604c	CCP46427	protein_coding	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0
Rv3605c	Rv3605c	CCP46428	protein_coding	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0
Rv3784	Rv3784	CCP46613	protein_coding	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0
Rv3785	Rv3785	CCP46614	protein_coding	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0
Rv3786c	Rv3786c	CCP46615	protein_coding	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6
Rv3787c	Rv3787c	CCP46616	protein_coding	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	7
Rv3788	Rv3788	CCP46617	protein_coding	1	0	8	0	0	0	0	8	1	0	0	0	0	0	0	0
Rv3789	Rv3789	CCP46618	protein_coding	0	0	10	0	0	0	0	5	0	0	0	0	0	0	0	5
Rv3796	Rv3796	CCP46625	protein_coding	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	12
Rv3798	Rv3798	CCP46627	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv3807c	Rv3807c	CCP46636	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
Rv3811	Rv3811	CCP46640	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
Rv3813c	Rv3813c	CCP46642	protein_coding	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
Rv3847	Rv3847	CCP46676	protein_coding	0	0	121	0	0	0	0	121	0	0	0	0	0	0	0	0
Rv3848	Rv3848	CCP46677	protein_coding	0	0	172	0	0	0	0	172	0	0	0	0	0	0	0	0
Rv3850	Rv3850	CCP46679	protein_coding	0	0	172	0	0	0	0	172	0	0	0	0	0	0	0	0
Rv3851	Rv3851	CCP46680	protein_coding	0	0	172	0	0	0	0	172	0	0	0	0	0	0	0	0
Rv3856c	Rv3856c	CCP46685	protein_coding	3	0	173	1	0	0	0	172	1	0	2	0	0	2	1	1
Rv3857c	Rv3857c	CCP46686	protein_coding	1	0	173	0	0	0	0	172	0	0	0	0	0	0	1	1
Rv3860	Rv3860	CCP46689	protein_coding	0	0	102	0	0	0	0	102	0	0	0	0	0	0	0	0
Rv3861	Rv3861	CCP46690	protein_coding	26	1	75	1	0	0	0	75	26	0	4	0	0	4	0	0
Rv3863	Rv3863	CCP46692	protein_coding	2	0	102	0	0	0	0	0	2	0	0	2	0	0	0	102
Rv3915	Rv3915	CCP46744	protein_coding	0	0	91	0	0	0	0	91	0	0	0	0	0	0	0	0
Rv3916c	Rv3916c	CCP46745	protein_coding	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	91
Rv3920c	Rv3920c	CCP46749	protein_coding	0	0	91	0	0	0	0	91	0	0	0	0	0	0	0	0
Rv3921c	Rv3921c	CCP46750	protein_coding	0	0	91	0	0	0	0	91	0	0	0	0	0	0	0	0
Rv3922c	Rv3922c	CCP46751	protein_coding	0	0	91	0	0	0	0	91	0	0	0	0	0	0	0	0
TB8.4	Rv1174c	CCP43930	protein_coding	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
aao	Rv1905c	CCP44672	protein_coding	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	102
accD4	Rv3799c	CCP46628	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
aceAa	Rv1915	CCP44682	protein_coding	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	53
aceAb	Rv1916	CCP44683	protein_coding	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	7
adhD	Rv3086	CCP45895	protein_coding	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	17
aftA	Rv3792	CCP46621	protein_coding	0	2	45	1	0	0	1	40	0	0	0	0	0	0	0	5
aftB	Rv3805c	CCP46634	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
agpS	Rv3107c	CCP45917	protein_coding	0	0	11	0	0	0	0	11	0	0	0	0	0	0	0	0
ahpC	Rv2428	CCP45220	protein_coding	8	1	8	1	0	0	0	0	8	0	1	1	0	1	0	8
ahpD	Rv2429	CCP45221	protein_coding	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	16
alaT	EBG00000313365	EBG00000313365-1	protein_coding	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	8
ald	Rv2780	CCP45579	protein_coding	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
alkA	Rv1317c	CCP44074	protein_coding	0	0	20	0	0	0	0	20	0	0	0	0	0	0	0	0
amiB2	Rv1263	CCP44019	protein_coding	1	0	39	0	0	0	0	13	0	0	0	0	0	0	1	26
apa	Rv1860	CCP44626	protein_coding	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	7
argA	Rv2747	CCP45546	protein_coding	0	0	10	0	0	0	0	10	0	0	0	0	0	0	0	0
aroB	Rv2538c	CCP45333	protein_coding	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
aroD	Rv2537c	CCP45332	protein_coding	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
aroF	Rv2540c	CCP45335	protein_coding	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
aroK	Rv2539c	CCP45334	protein_coding	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
atpC	Rv1311	CCP44068	protein_coding	0	0	32	0	0	0	0	32	0	0	0	0	0	0	0	0
atpD	Rv1310	CCP44067	protein_coding	0	0	26	0	0	0	0	26	0	0	0	0	0	0	0	0
